Disorder,Dict,DataFrame,Accuracy,AUC,Classification Report
Anxiety disorder,df_dict_fc_band,fc_gamma,0.7441860465116279,0.7532467532467533,"              precision    recall  f1-score   support

           0       0.72      0.82      0.77        22
           1       0.78      0.67      0.72        21

    accuracy                           0.74        43
   macro avg       0.75      0.74      0.74        43
weighted avg       0.75      0.74      0.74        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_delta,0.8372093023255814,0.8701298701298701,"              precision    recall  f1-score   support

           0       0.83      0.86      0.84        22
           1       0.85      0.81      0.83        21

    accuracy                           0.84        43
   macro avg       0.84      0.84      0.84        43
weighted avg       0.84      0.84      0.84        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_theta,0.7906976744186046,0.8506493506493507,"              precision    recall  f1-score   support

           0       0.76      0.86      0.81        22
           1       0.83      0.71      0.77        21

    accuracy                           0.79        43
   macro avg       0.80      0.79      0.79        43
weighted avg       0.80      0.79      0.79        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_alpha,0.7674418604651163,0.7532467532467533,"              precision    recall  f1-score   support

           0       0.75      0.82      0.78        22
           1       0.79      0.71      0.75        21

    accuracy                           0.77        43
   macro avg       0.77      0.77      0.77        43
weighted avg       0.77      0.77      0.77        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_beta,0.7209302325581395,0.7640692640692641,"              precision    recall  f1-score   support

           0       0.69      0.82      0.75        22
           1       0.76      0.62      0.68        21

    accuracy                           0.72        43
   macro avg       0.73      0.72      0.72        43
weighted avg       0.73      0.72      0.72        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_highbeta,0.7441860465116279,0.7683982683982684,"              precision    recall  f1-score   support

           0       0.72      0.82      0.77        22
           1       0.78      0.67      0.72        21

    accuracy                           0.74        43
   macro avg       0.75      0.74      0.74        43
weighted avg       0.75      0.74      0.74        43
"
Anxiety disorder,df_dict_psd_fc_band,psd_fc_gamma,0.813953488372093,0.7987012987012987,"              precision    recall  f1-score   support

           0       0.85      0.77      0.81        22
           1       0.78      0.86      0.82        21

    accuracy                           0.81        43
   macro avg       0.82      0.81      0.81        43
weighted avg       0.82      0.81      0.81        43
"
Mood disorder,df_dict_psd_all_bands,psd_all_bands,0.9532710280373832,0.9612159329140461,"              precision    recall  f1-score   support

           0       0.93      0.98      0.95        54
           1       0.98      0.92      0.95        53

    accuracy                           0.95       107
   macro avg       0.95      0.95      0.95       107
weighted avg       0.95      0.95      0.95       107
"
Mood disorder,df_dict_fc_all_bands,fc_all_bands,0.9345794392523364,0.9472396925227115,"              precision    recall  f1-score   support

           0       0.93      0.94      0.94        54
           1       0.94      0.92      0.93        53

    accuracy                           0.93       107
   macro avg       0.93      0.93      0.93       107
weighted avg       0.93      0.93      0.93       107
"
Mood disorder,df_dict_psd_fc_all_bands,psd_fc_all_bands,0.9345794392523364,0.9318658280922432,"              precision    recall  f1-score   support

           0       0.90      0.98      0.94        54
           1       0.98      0.89      0.93        53

    accuracy                           0.93       107
   macro avg       0.94      0.93      0.93       107
weighted avg       0.94      0.93      0.93       107
"
Mood disorder,df_dict_psd_band,psd_delta,0.8878504672897196,0.9528301886792452,"              precision    recall  f1-score   support

           0       0.85      0.94      0.89        54
           1       0.94      0.83      0.88        53

    accuracy                           0.89       107
   macro avg       0.89      0.89      0.89       107
weighted avg       0.89      0.89      0.89       107
"
Mood disorder,df_dict_psd_band,psd_theta,0.8411214953271028,0.8885394828791056,"              precision    recall  f1-score   support

           0       0.79      0.93      0.85        54
           1       0.91      0.75      0.82        53

    accuracy                           0.84       107
   macro avg       0.85      0.84      0.84       107
weighted avg       0.85      0.84      0.84       107
"
Mood disorder,df_dict_psd_band,psd_alpha,0.8878504672897196,0.9252271139063593,"              precision    recall  f1-score   support

           0       0.86      0.93      0.89        54
           1       0.92      0.85      0.88        53

    accuracy                           0.89       107
   macro avg       0.89      0.89      0.89       107
weighted avg       0.89      0.89      0.89       107
"
Mood disorder,df_dict_psd_band,psd_beta,0.9065420560747663,0.9196366177498252,"              precision    recall  f1-score   support

           0       0.89      0.93      0.91        54
           1       0.92      0.89      0.90        53

    accuracy                           0.91       107
   macro avg       0.91      0.91      0.91       107
weighted avg       0.91      0.91      0.91       107
"
Mood disorder,df_dict_psd_band,psd_highbeta,0.8504672897196262,0.8829489867225716,"              precision    recall  f1-score   support

           0       0.83      0.89      0.86        54
           1       0.88      0.81      0.84        53

    accuracy                           0.85       107
   macro avg       0.85      0.85      0.85       107
weighted avg       0.85      0.85      0.85       107
"
Mood disorder,df_dict_psd_band,psd_gamma,0.8504672897196262,0.9217330538085255,"              precision    recall  f1-score   support

           0       0.80      0.94      0.86        54
           1       0.93      0.75      0.83        53

    accuracy                           0.85       107
   macro avg       0.86      0.85      0.85       107
weighted avg       0.86      0.85      0.85       107
"
Mood disorder,df_dict_fc_band,fc_delta,0.9158878504672897,0.9433962264150942,"              precision    recall  f1-score   support

           0       0.88      0.96      0.92        54
           1       0.96      0.87      0.91        53

    accuracy                           0.92       107
   macro avg       0.92      0.92      0.92       107
weighted avg       0.92      0.92      0.92       107
"
